4680,Ballymun Road,53.38496806,-6.265331944,4,0,51
4705,Rock Road,53.31081,-6.200063889,4,0,14
6086,Link Road,53.28636194,-6.165993889,4,0,3
6182,Ballymun Road,53.40225,-6.265351944,4,0,58
7330,Monkstown Ave,53.28851611,-6.153508889,4,0,1
4,Parnell Square,53.35256694,-6.264166111,7,0,55
281,O'Connell St,53.35134889,-6.261111111,7,0,54
400,Pearse Street,53.34482694,-6.25323,7,0,53
469,Rock Road,53.30284694,-6.184046944,7,0,28
470,Rock Road,53.30561889,-6.188958889,7,0,29
471,Rock Road,53.30686889,-6.191045,7,0,30
472,Rock Road,53.30787806,-6.1949,7,0,31
473,Rock Road,53.30924111,-6.197366111,7,0,32
475,Rock Road,53.31270611,-6.201881944,7,0,34
476,Rock Road,53.31574611,-6.204756111,7,0,35
477,Merrion Road,53.31685889,-6.206946111,7,0,36
478,Merrion Road,53.31810694,-6.211263889,7,0,37
479,Merrion Road,53.31913611,-6.213388889,7,0,38
480,Merrion Road,53.320845,-6.216276111,7,0,39
481,Merrion Road,53.32233806,-6.218253056,7,0,40
482,Merrion Road,53.32468,-6.222015,7,0,41
483,Merrion Road,53.32592694,-6.223956944,7,0,42
485,Ballsbridge,53.32826111,-6.228638889,7,0,43
487,Pembroke Road,53.3308,-6.233865,7,0,44
488,Northumberland Rd,53.33309611,-6.236063056,7,0,45
489,Northumberland Rd,53.33494194,-6.237343056,7,0,46
490,Northumberland Rd,53.33655694,-6.238931111,7,0,47
491,Mount St,53.33780889,-6.241311111,7,0,48
492,Grattan St,53.338585,-6.243593889,7,0,49
493,Merrion Sq,53.33988889,-6.24736,7,0,50
494,Clare Street,53.34141694,-6.251671111,7,0,51
495,Westland Row,53.34358611,-6.249726111,7,0,52
2041,George's St,53.29362194,-6.139281944,7,0,19
3068,George's St,53.28983194,-6.130476111,7,0,16
3069,George's St,53.290755,-6.132633056,7,0,17
3070,George's St,53.29211694,-6.135813056,7,0,18
3071,Dunleary Hill,53.29498694,-6.145178056,7,0,20
3072,Longford Place,53.29418889,-6.148683889,7,0,21
3073,Monkstown Rd,53.29378694,-6.155025,7,0,22
3074,Monkstown Rd,53.29448889,-6.159268056,7,0,23
3075,Monkstown Rd,53.29487694,-6.162233056,7,0,24
3076,Monkstown Rd,53.29543306,-6.166006111,7,0,25
3077,Monkstown Rd,53.29592,-6.168441111,7,0,26
3084,Frascati Road,53.30140111,-6.181071111,7,0,27
3224,Wyattville Road,53.25194389,-6.132338056,7,0,4
3225,Churchview Rd,53.255295,-6.133838889,7,0,5
3226,Churchview Rd,53.25914694,-6.138171111,7,0,66
3227,Churchview Rd,53.26195306,-6.13779,7,0,7
3228,Churchview Rd,53.264755,-6.134651944,7,0,8
3229,Church Road,53.26540806,-6.134396111,7,0,9
3238,Glenageary Rd,53.28329889,-6.133716944,7,0,13
3239,Glenageary Rd,53.28438389,-6.133026111,7,0,14
3240,Glenageary Rd,53.287175,-6.131241111,7,0,15
4705,Rock Road,53.31081,-6.200063889,7,0,33
5047,Wyattville Road,53.24581194,-6.140155,7,0,3
7639,Brides Glen,53.24150306,-6.142121111,7,0,1
7640,Cherrywood Business,53.24354306,-6.140778056,7,0,2
7644,Sallyglen Rd,53.26763889,-6.134846944,7,0,10
7645,Sallyglen Road,53.27510111,-6.13468,7,0,11
7646,Sallyglen Rd,53.27908889,-6.135731944,7,0,12
7653,Monkstown Road,53.29717389,-6.170898889,7,0,
4,Parnell Square,53.35256694,-6.264166111,9,0,36
27,Ballymun Road,53.37943806,-6.266575,9,0,48
28,Ballymun Road,53.381575,-6.265988889,9,0,49
29,Ballymun Road,53.38348389,-6.265663056,9,0,50
